,iid,partner,pid,gender,age,age_o,int_corr,samerace,date,exphappy,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr,sinc,intel,fun,amb,shar,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,goal_2.0,goal_3.0,goal_4.0,goal_5.0,goal_6.0,goal_nan
1624,110,5,80.0,1,110.0,110.0,0.17,0,6.0,6.0,7.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,9.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,10.0,20.0,20.0,10.0,20.0,20.0,1,0,0,0,0,0
2819,204,12,225.0,0,204.0,204.0,0.08,0,5.0,4.0,9.0,5.0,9.0,10.0,10.0,7.0,9.0,8.0,7.0,7.0,8.0,19.61,15.69,17.65,15.69,17.65,13.73,14.71,14.71,14.71,14.71,20.59,20.59,0,1,0,0,0,0
1537,105,8,83.0,1,105.0,105.0,0.09,0,7.0,5.0,8.0,7.0,9.0,8.0,6.0,8.0,9.0,8.0,7.0,5.0,8.0,30.0,15.0,20.0,20.0,0.0,5.0,10.0,32.0,20.0,12.0,11.0,15.0,1,0,0,0,0,0
7722,523,5,535.0,0,523.0,523.0,0.52,0,4.0,9.0,6.0,9.0,8.0,9.0,6.0,2.0,3.0,10.0,4.0,7.0,8.0,10.0,25.0,20.0,20.0,5.0,20.0,23.0,14.0,19.0,16.0,10.0,18.0,1,0,0,0,0,0
3636,255,4,276.0,0,255.0,255.0,0.24,0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,16.67,16.67,16.67,16.67,16.67,16.67,24.0,16.0,28.0,14.0,8.0,10.0,0,0,0,0,0,0
37,4,8,18.0,0,4.0,4.0,0.15,1,5.0,1.0,7.0,8.0,9.0,7.0,8.0,5.0,9.0,9.0,5.0,9.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,33.33,11.11,11.11,11.11,11.11,22.22,0,0,0,0,0,0
2032,150,9,166.0,0,150.0,150.0,0.47,0,5.0,5.0,7.0,9.0,8.0,9.0,8.0,6.0,5.0,6.0,5.0,8.0,6.0,12.0,20.0,20.0,20.0,14.0,14.0,27.78,19.44,19.44,27.78,2.78,2.78,0,0,1,0,0,0
3986,271,18,290.0,0,271.0,271.0,0.42,1,4.0,8.0,9.0,10.0,10.0,9.0,10.0,6.0,7.0,7.0,6.0,6.0,7.0,10.0,15.0,40.0,15.0,10.0,10.0,30.0,10.0,30.0,10.0,5.0,15.0,1,0,0,0,0,0
2566,189,9,182.0,1,189.0,189.0,-0.22,0,6.0,5.0,8.0,8.0,8.0,8.0,9.0,5.0,7.0,6.0,6.0,7.0,5.0,16.98,16.98,16.98,16.98,16.98,15.09,16.07,17.86,17.86,17.86,17.86,12.5,0,0,0,0,0,0
6769,450,6,435.0,1,450.0,450.0,-0.08,0,6.0,3.0,9.0,6.0,7.0,10.0,10.0,6.0,8.0,8.0,3.0,7.0,1.0,50.0,5.0,5.0,5.0,5.0,30.0,25.0,5.0,20.0,25.0,15.0,10.0,1,0,0,0,0,0
7876,530,5,535.0,0,530.0,530.0,0.11,0,7.0,8.0,3.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,7.0,8.0,20.0,20.0,10.0,15.0,5.0,30.0,23.0,14.0,19.0,16.0,10.0,18.0,1,0,0,0,0,0
2898,208,11,224.0,0,208.0,208.0,0.02,0,4.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.54,13.46,19.23,19.23,19.23,17.31,17.24,17.24,17.24,17.24,13.79,17.24,1,0,0,0,0,0
6614,436,7,446.0,0,436.0,436.0,0.32,0,6.0,5.0,9.0,8.0,10.0,7.0,6.0,7.0,10.0,9.0,9.0,7.0,8.0,28.0,8.0,17.0,22.0,17.0,8.0,30.0,20.0,25.0,15.0,10.0,0.0,0,0,0,0,0,0
3652,255,20,292.0,0,255.0,255.0,-0.24,0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,16.67,16.67,16.67,16.67,16.67,16.67,20.0,18.0,20.0,17.0,10.0,15.0,0,0,0,0,0,0
7122,482,7,472.0,1,482.0,482.0,0.36,0,6.0,4.0,7.0,10.0,9.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,20.0,10.0,22.0,20.0,15.0,13.0,10.0,25.0,25.0,20.0,10.0,10.0,1,0,0,0,0,0
644,47,8,28.0,1,47.0,47.0,0.21,1,6.0,8.0,8.0,7.0,9.0,9.0,3.0,5.0,6.0,7.0,5.0,7.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0,0,0,0,0,0
4234,283,14,265.0,1,283.0,283.0,-0.14,0,4.0,5.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,15.0,5.0,45.0,10.0,15.0,10.0,0,0,0,0,0,0
1037,77,12,105.0,0,77.0,77.0,-0.28,0,4.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,10.0,9.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0,30.0,15.0,20.0,20.0,0.0,5.0,0,0,0,0,0,0
1019,76,12,105.0,0,76.0,76.0,0.02,0,7.0,6.0,6.0,6.0,6.0,8.0,4.0,5.0,7.0,8.0,8.0,7.0,6.0,10.0,10.0,30.0,20.0,10.0,20.0,30.0,15.0,20.0,20.0,0.0,5.0,1,0,0,0,0,0
2660,196,13,226.0,0,196.0,196.0,-0.2,0,1.0,6.0,9.0,9.0,9.0,9.0,9.0,5.0,4.0,5.0,5.0,5.0,3.0,17.65,17.65,17.65,15.69,15.69,15.69,25.64,17.95,15.38,20.51,10.26,10.26,0,0,0,0,0,0
2980,212,13,226.0,0,212.0,212.0,0.2,0,5.0,5.0,7.0,9.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,6.0,14.29,18.37,18.37,16.33,18.37,14.29,25.64,17.95,15.38,20.51,10.26,10.26,0,0,0,0,0,0
2082,153,11,168.0,0,153.0,153.0,0.2,1,6.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,9.76,19.51,19.51,14.63,19.51,17.07,11.11,17.78,17.78,17.78,17.78,17.78,1,0,0,0,0,0
1350,95,1,76.0,1,95.0,95.0,-0.18,1,5.0,6.0,7.0,9.0,8.0,10.0,7.0,6.0,6.0,7.0,8.0,4.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,10.0,10.0,30.0,20.0,10.0,20.0,0,0,0,0,0,0
1960,146,1,158.0,0,146.0,146.0,0.26,1,7.0,5.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,8.0,7.0,7.0,6.0,18.18,18.18,18.18,18.18,13.64,13.64,19.05,19.05,19.05,19.05,9.52,14.29,0,0,1,0,0,0
6216,404,5,383.0,1,404.0,404.0,0.16,1,5.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,6.0,6.0,25.0,14.0,25.0,25.0,3.0,8.0,25.0,20.0,10.0,20.0,15.0,10.0,1,0,0,0,0,0
7325,495,16,480.0,1,495.0,495.0,-0.19,0,2.0,6.0,7.0,7.0,7.0,8.0,9.0,6.0,7.0,6.0,7.0,6.0,5.0,20.0,20.0,20.0,15.0,15.0,10.0,16.0,18.0,18.0,20.0,12.0,16.0,1,0,0,0,0,0
7208,488,3,468.0,1,488.0,488.0,0.33,0,2.0,5.0,5.0,10.0,7.0,10.0,8.0,10.0,7.0,8.0,8.0,10.0,8.0,15.0,20.0,20.0,20.0,5.0,20.0,15.0,25.0,15.0,15.0,15.0,15.0,0,1,0,0,0,0
4033,274,2,253.0,1,274.0,274.0,0.5,0,4.0,6.0,7.0,7.0,10.0,9.0,9.0,5.0,6.0,8.0,7.0,7.0,8.0,30.0,10.0,20.0,20.0,10.0,10.0,25.0,30.0,10.0,10.0,5.0,20.0,0,1,0,0,0,0
6557,432,6,445.0,0,432.0,432.0,-0.08,1,6.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,10.0,15.0,30.0,30.0,10.0,10.0,5.0,40.0,12.0,18.0,12.0,6.0,12.0,0,0,1,0,0,0
6303,409,2,380.0,1,409.0,409.0,0.08,0,6.0,7.0,7.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,7.0,5.0,20.0,15.0,20.0,20.0,10.0,15.0,20.0,20.0,20.0,15.0,15.0,10.0,1,0,0,0,0,0
4436,293,6,257.0,1,293.0,293.0,0.26,0,5.0,6.0,7.0,10.0,9.0,9.0,9.0,7.0,7.0,6.0,6.0,5.0,5.0,23.0,18.0,21.0,18.0,10.0,10.0,22.0,14.0,30.0,10.0,14.0,10.0,1,0,0,0,0,0
1698,116,3,124.0,0,116.0,116.0,0.68,0,1.0,7.0,8.0,9.0,8.0,9.0,9.0,4.0,4.0,8.0,2.0,10.0,0.0,15.0,15.0,25.0,25.0,20.0,0.0,40.0,10.0,10.0,10.0,10.0,20.0,0,0,0,0,0,0
2227,162,12,153.0,1,162.0,162.0,0.3,1,6.0,4.0,7.0,8.0,7.0,9.0,8.0,5.0,7.0,6.0,3.0,7.0,3.0,15.22,15.22,19.57,17.39,13.04,19.57,9.76,19.51,19.51,14.63,19.51,17.07,1,0,0,0,0,0
3546,249,4,237.0,1,249.0,249.0,-0.09,0,3.0,5.0,7.0,9.0,7.0,10.0,7.0,6.0,9.0,8.0,7.0,8.0,6.0,22.0,22.0,15.0,15.0,5.0,21.0,10.0,20.0,20.0,20.0,20.0,10.0,1,0,0,0,0,0
6340,411,3,381.0,1,411.0,411.0,0.41,1,4.0,3.0,8.0,6.0,9.0,7.0,5.0,6.0,7.0,6.0,2.0,5.0,5.0,35.0,15.0,15.0,25.0,10.0,0.0,20.0,10.0,20.0,35.0,5.0,10.0,0,1,0,0,0,0
4016,273,6,257.0,1,273.0,273.0,0.64,1,5.0,5.0,7.0,10.0,5.0,7.0,7.0,7.0,6.0,7.0,5.0,8.0,1.0,30.0,25.0,18.0,18.0,4.0,5.0,22.0,14.0,30.0,10.0,14.0,10.0,1,0,0,0,0,0
4841,321,13,305.0,1,321.0,321.0,0.47,0,5.0,6.0,6.0,8.0,7.0,7.0,8.0,4.0,8.0,7.0,6.0,5.0,5.0,30.0,15.0,15.0,20.0,10.0,10.0,10.0,47.0,16.0,12.0,3.0,12.0,0,0,0,0,0,0
6905,467,15,495.0,0,467.0,467.0,-0.01,0,2.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,15.0,15.0,10.0,0,0,0,0,1,0
6372,412,17,395.0,1,412.0,412.0,-0.31,1,5.0,4.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,5.0,75.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,0,0,0,0,0,0
3275,227,8,201.0,1,227.0,227.0,0.13,1,6.0,5.0,7.0,10.0,8.0,10.0,10.0,6.0,8.0,8.0,6.0,7.0,6.0,20.0,16.0,18.0,16.0,16.0,14.0,15.38,17.31,17.31,17.31,17.31,15.38,1,0,0,0,0,0
2535,186,8,181.0,1,186.0,186.0,0.44,0,7.0,7.0,4.0,8.0,4.0,7.0,6.0,6.0,8.0,8.0,7.0,8.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,15.38,19.23,19.23,17.31,17.31,11.54,0,0,0,0,0,0
7056,478,1,481.0,0,478.0,478.0,0.4,1,4.0,4.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,20.0,20.0,10.0,20.0,10.0,20.0,25.0,20.0,15.0,20.0,5.0,15.0,0,0,0,0,0,0
4225,283,5,256.0,1,283.0,283.0,-0.58,1,4.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,50.0,10.0,10.0,10.0,10.0,10.0,15.0,25.0,20.0,20.0,10.0,10.0,0,0,0,0,0,0
1467,101,10,85.0,1,101.0,101.0,0.18,0,4.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,40.0,8.0,10.0,12.0,10.0,20.0,20.0,25.0,15.0,15.0,15.0,10.0,0,1,0,0,0,0
5002,338,9,330.0,1,338.0,338.0,-0.35,0,4.0,2.0,7.0,9.0,7.0,9.0,10.0,7.0,7.0,8.0,7.0,9.0,6.0,10.0,20.0,25.0,20.0,20.0,5.0,15.0,25.0,15.0,20.0,10.0,15.0,0,0,0,0,0,0
1818,129,3,114.0,1,129.0,129.0,0.26,0,3.0,10.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,8.0,7.0,7.0,6.0,40.0,20.0,20.0,20.0,16.666666666666668,16.666666666666668,20.0,20.0,20.0,20.0,10.0,10.0,0,1,0,0,0,0
5138,347,7,367.0,0,347.0,347.0,0.34,0,6.0,5.0,8.0,6.0,10.0,10.0,10.0,6.0,7.0,7.0,7.0,7.0,6.0,30.0,5.0,10.0,20.0,30.0,5.0,30.0,15.0,20.0,25.0,5.0,5.0,0,0,0,1,0,0
1608,109,7,82.0,1,109.0,109.0,0.66,0,4.0,5.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,0,0,0,0,0,0
7235,489,16,480.0,1,489.0,489.0,0.08,1,2.0,6.0,6.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,10.0,20.0,10.0,20.0,20.0,20.0,0.0,16.0,18.0,18.0,20.0,12.0,16.0,0,1,0,0,0,0
932,68,5,60.0,1,68.0,68.0,0.28,0,4.0,5.0,6.0,8.0,7.0,8.0,8.0,3.0,6.0,5.0,4.0,6.0,4.0,21.0,17.0,22.0,20.0,8.0,13.0,5.0,20.0,25.0,15.0,15.0,20.0,0,0,0,1,0,0
5411,362,8,348.0,1,362.0,362.0,0.53,0,4.0,9.0,7.0,7.0,9.0,8.0,8.0,5.0,8.0,7.0,6.0,6.0,6.0,20.51,14.53,24.79,17.09,5.98,17.09,15.0,25.0,15.0,15.0,15.0,15.0,0,0,0,0,0,0
1938,144,11,168.0,0,144.0,144.0,0.03,0,5.0,5.0,7.0,8.0,8.0,9.0,9.0,5.0,5.0,6.0,6.0,5.0,5.0,16.0,16.0,16.0,18.0,18.0,16.0,11.11,17.78,17.78,17.78,17.78,17.78,0,0,0,0,0,0
2062,152,7,164.0,0,152.0,152.0,0.25,0,4.0,5.0,7.0,9.0,8.0,10.0,8.0,6.0,8.0,8.0,7.0,7.0,9.0,14.0,20.0,20.0,14.0,18.0,14.0,20.51,23.08,20.51,17.95,2.56,15.38,0,0,0,0,0,0
5731,378,8,348.0,1,378.0,378.0,-0.04,0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,4.0,8.0,8.0,8.0,7.0,4.0,25.0,15.0,20.0,20.0,10.0,10.0,15.0,25.0,15.0,15.0,15.0,15.0,0,0,0,0,1,0
3423,235,7,249.0,0,235.0,235.0,0.31,0,4.0,5.0,6.0,9.0,9.0,8.0,9.0,2.0,5.0,5.0,2.0,5.0,2.0,15.0,15.0,20.0,20.0,20.0,10.0,22.0,22.0,15.0,15.0,5.0,21.0,0,0,0,0,0,0
7591,517,6,536.0,0,517.0,517.0,0.32,0,5.0,3.0,8.0,9.0,7.0,9.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,15.0,20.0,20.0,20.0,5.0,10.0,30.0,20.0,20.0,20.0,10.0,0.0,0,0,0,1,0,0
5359,359,12,372.0,0,359.0,359.0,0.04,1,6.0,2.0,7.0,10.0,2.0,9.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,9.0,17.0,23.0,15.0,14.0,22.0,30.0,15.0,15.0,20.0,5.0,15.0,1,0,0,0,0,0
2594,192,7,180.0,1,192.0,192.0,0.02,0,6.0,4.0,7.0,10.0,9.0,9.0,10.0,7.0,7.0,8.0,8.0,6.0,4.0,19.57,19.57,15.22,17.39,15.22,13.04,15.38,17.31,17.31,19.23,13.46,17.31,0,0,0,0,0,0
3544,249,2,235.0,1,249.0,249.0,0.31,0,3.0,5.0,7.0,9.0,7.0,10.0,7.0,9.0,8.0,9.0,9.0,6.0,7.0,22.0,22.0,15.0,15.0,5.0,21.0,15.0,15.0,20.0,20.0,20.0,10.0,1,0,0,0,0,0
4889,327,1,332.0,0,327.0,327.0,0.54,0,6.0,5.0,7.0,7.0,9.0,8.0,10.0,5.0,10.0,8.0,8.0,8.0,2.0,15.0,10.0,20.0,20.0,20.0,15.0,60.0,10.0,10.0,10.0,5.0,5.0,1,0,0,0,0,0
7530,514,11,541.0,0,514.0,514.0,0.02,0,4.0,7.0,8.0,10.0,8.0,9.0,7.0,4.0,8.0,9.0,4.0,5.0,2.0,20.0,20.0,20.0,15.0,5.0,20.0,40.0,30.0,0.0,20.0,0.0,10.0,1,0,0,0,0,0
4756,315,12,304.0,1,315.0,315.0,0.51,1,5.0,5.0,6.0,10.0,6.0,8.0,7.0,7.0,9.0,8.0,8.0,3.0,3.0,6.67,19.05,42.86,9.52,14.29,7.62,5.0,20.0,25.0,25.0,15.0,10.0,0,1,0,0,0,0
5594,371,11,351.0,1,371.0,371.0,0.05,0,7.0,6.0,10.0,8.0,10.0,10.0,10.0,6.0,7.0,7.0,7.0,7.0,6.0,40.0,0.0,10.0,50.0,0.0,0.0,15.0,15.0,30.0,15.0,15.0,10.0,0,0,0,1,0,0
5426,363,3,343.0,1,363.0,363.0,0.06,0,6.0,7.0,5.0,7.0,8.0,8.0,3.0,4.0,7.0,7.0,6.0,8.0,4.0,25.0,20.0,20.0,20.0,5.0,10.0,5.0,25.0,20.0,10.0,15.0,25.0,0,1,0,0,0,0
800,55,12,32.0,1,55.0,55.0,0.2,0,4.0,7.0,6.0,10.0,10.0,9.0,10.0,6.0,8.0,10.0,8.0,7.0,7.0,20.0,25.0,25.0,10.0,10.0,10.0,50.0,0.0,50.0,0.0,0.0,0.0,0,0,0,0,1,0
1366,95,17,92.0,1,95.0,95.0,-0.23,1,5.0,6.0,7.0,9.0,8.0,10.0,7.0,6.0,6.0,7.0,7.0,4.0,5.0,18.0,18.0,18.0,19.0,13.0,14.0,10.0,20.0,20.0,20.0,20.0,10.0,0,0,0,0,0,0
2678,197,11,224.0,0,197.0,197.0,0.23,0,4.0,3.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,7.0,4.0,14.0,18.0,20.0,18.0,16.0,14.0,17.24,17.24,17.24,17.24,13.79,17.24,0,0,0,0,0,0
7055,477,15,495.0,0,477.0,477.0,0.29,0,4.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,6.0,16.0,19.0,16.0,17.0,15.0,17.0,20.0,20.0,20.0,15.0,15.0,10.0,0,0,0,0,0,0
5810,382,10,406.0,0,382.0,382.0,0.32,0,7.0,6.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,25.0,25.0,25.0,10.0,10.0,5.0,20.0,20.0,20.0,20.0,20.0,0.0,1,0,0,0,0,0
3900,267,16,288.0,0,267.0,267.0,-0.39,0,3.0,4.0,7.0,6.0,5.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,4.0,20.0,30.0,10.0,15.0,10.0,15.0,20.0,20.0,15.0,25.0,10.0,10.0,0,0,0,0,0,0
8065,538,18,526.0,1,538.0,538.0,0.2,0,4.0,6.0,7.0,8.0,9.0,8.0,8.0,3.0,6.0,5.0,6.0,5.0,4.0,50.0,0.0,10.0,30.0,0.0,10.0,10.0,10.0,30.0,20.0,10.0,15.0,0,0,0,0,0,0
1036,77,11,104.0,0,77.0,77.0,0.63,1,4.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,15.0,20.0,20.0,20.0,15.0,10.0,20.0,15.0,25.0,15.0,20.0,5.0,0,0,0,0,0,0
436,35,13,52.0,0,35.0,35.0,0.43,1,6.0,7.0,8.0,9.0,9.0,9.0,7.0,6.0,7.0,10.0,7.0,7.0,9.0,20.0,23.0,23.0,22.0,7.0,5.0,15.0,20.0,15.0,30.0,5.0,15.0,0,0,0,0,0,0
5170,349,3,363.0,0,349.0,349.0,0.48,0,4.0,6.0,7.0,8.0,8.0,9.0,7.0,4.0,8.0,6.0,3.0,7.0,6.0,25.0,20.0,10.0,20.0,20.0,5.0,25.0,20.0,20.0,20.0,5.0,10.0,0,0,0,0,0,0
5466,365,3,343.0,1,365.0,365.0,0.68,1,2.0,8.0,8.0,2.0,9.0,9.0,9.0,6.0,9.0,9.0,8.0,9.0,7.0,31.58,10.53,15.79,21.05,10.53,10.53,5.0,25.0,20.0,10.0,15.0,25.0,0,0,0,0,0,0
2812,204,5,218.0,0,204.0,204.0,0.54,1,5.0,4.0,9.0,5.0,9.0,10.0,10.0,5.0,7.0,9.0,5.0,9.0,5.0,19.61,15.69,17.65,15.69,17.65,13.73,20.51,5.13,23.08,12.82,17.95,20.51,0,1,0,0,0,0
2555,188,8,181.0,1,188.0,188.0,0.4,0,3.0,6.0,7.0,5.0,7.0,10.0,10.0,6.0,7.0,5.0,6.0,2.0,5.0,15.56,11.11,22.22,15.56,20.0,15.56,15.38,19.23,19.23,17.31,17.31,11.54,1,0,0,0,0,0
1227,88,4,97.0,0,88.0,88.0,0.53,1,4.0,5.0,9.0,9.0,9.0,9.0,9.0,6.0,7.0,10.0,7.0,10.0,7.0,15.0,15.0,20.0,15.0,20.0,15.0,50.0,7.0,20.0,23.0,0.0,0.0,0,0,0,0,0,0
2012,149,5,162.0,0,149.0,149.0,0.72,0,5.0,4.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,7.0,4.0,8.0,6.0,8.51,19.15,19.15,19.15,19.15,14.89,15.22,15.22,19.57,17.39,13.04,19.57,0,0,0,0,0,0
5583,370,20,360.0,1,370.0,370.0,0.04,0,4.0,7.0,8.0,6.0,9.0,9.0,9.0,6.0,7.0,7.0,7.0,7.0,6.0,50.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,10.0,10.0,10.0,20.0,0,1,0,0,0,0
5772,380,10,406.0,0,380.0,380.0,0.13,0,7.0,6.0,4.0,7.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,20.0,20.0,20.0,20.0,0.0,1,0,0,0,0,0
4386,290,19,270.0,1,290.0,290.0,0.6,0,5.0,5.0,5.0,4.0,5.0,10.0,9.0,4.0,6.0,8.0,5.0,5.0,6.0,30.0,10.0,30.0,10.0,5.0,15.0,16.0,16.0,19.0,17.0,14.0,18.0,1,0,0,0,0,0
3474,241,4,246.0,0,241.0,241.0,0.14,0,4.0,2.0,8.0,10.0,8.0,8.0,8.0,4.0,9.0,8.0,6.0,6.0,4.0,90.0,2.0,2.0,2.0,2.0,2.0,35.0,20.0,10.0,20.0,10.0,5.0,1,0,0,0,0,0
7252,491,2,467.0,1,491.0,491.0,0.61,0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,30.0,10.0,25.0,20.0,8.0,7.0,20.0,20.0,20.0,20.0,20.0,0.0,1,0,0,0,0,0
1462,101,5,80.0,1,101.0,101.0,-0.35,1,4.0,7.0,8.0,8.0,8.0,9.0,9.0,6.0,8.0,7.0,7.0,7.0,6.0,40.0,8.0,10.0,12.0,10.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,0,1,0,0,0,0
3059,216,12,205.0,1,216.0,216.0,0.39,1,5.0,6.0,5.0,10.0,9.0,9.0,10.0,7.0,8.0,7.0,8.0,7.0,5.0,7.5,17.5,20.0,22.5,12.5,20.0,15.38,17.31,19.23,19.23,11.54,17.31,1,0,0,0,0,0
4389,291,1,252.0,1,291.0,291.0,-0.16,0,3.0,6.0,6.0,9.0,7.0,9.0,9.0,6.0,10.0,8.0,9.0,8.0,7.0,20.0,20.0,15.0,15.0,12.0,18.0,0.0,25.0,25.0,25.0,25.0,0.0,0,0,0,0,0,0
5745,379,2,398.0,0,379.0,379.0,0.22,1,7.0,5.0,6.0,9.0,6.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0,45.0,10.0,10.0,30.0,0.0,5.0,1,0,0,0,0,0
700,50,7,27.0,1,50.0,50.0,-0.23,0,6.0,5.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,35.0,10.0,20.0,15.0,10.0,10.0,17.0,10.0,18.0,20.0,25.0,10.0,0,0,0,0,1,0
7534,514,15,545.0,0,514.0,514.0,-0.1,1,4.0,7.0,8.0,10.0,8.0,9.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,20.0,20.0,20.0,15.0,5.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,1,0,0,0,0,0
2799,203,12,225.0,0,203.0,203.0,-0.18,0,6.0,3.0,9.0,8.0,9.0,10.0,7.0,6.0,9.0,8.0,8.0,8.0,6.0,16.0,20.0,18.0,20.0,18.0,8.0,14.71,14.71,14.71,14.71,20.59,20.59,0,0,0,0,1,0
1026,77,1,94.0,0,77.0,77.0,0.56,0,4.0,6.0,6.0,8.0,8.0,8.0,8.0,4.0,7.0,8.0,10.0,7.0,7.0,15.0,20.0,20.0,20.0,15.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,0,0,0,0,0,0
3403,233,16,209.0,1,233.0,233.0,0.4,0,3.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,14.0,20.0,18.0,16.0,14.0,18.0,13.04,21.74,17.39,17.39,15.22,15.22,0,0,0,0,0,0
3014,214,7,200.0,1,214.0,214.0,0.59,1,6.0,6.0,8.0,10.0,10.0,9.0,8.0,9.0,5.0,6.0,7.0,6.0,5.0,17.02,21.28,17.02,21.28,14.89,8.51,13.21,18.87,18.87,16.98,16.98,15.09,0,0,0,0,0,0
2406,173,15,156.0,1,173.0,173.0,-0.15,0,4.0,3.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,18.37,18.37,20.41,20.41,16.33,6.12,14.0,18.0,16.0,18.0,18.0,16.0,0,0,0,0,0,0
7324,495,15,479.0,1,495.0,495.0,0.07,0,2.0,6.0,7.0,7.0,7.0,8.0,9.0,7.0,6.0,7.0,5.0,7.0,5.0,20.0,20.0,20.0,15.0,15.0,10.0,15.0,15.0,20.0,20.0,15.0,15.0,1,0,0,0,0,0
3473,241,3,245.0,0,241.0,241.0,0.11,0,4.0,2.0,8.0,10.0,8.0,8.0,8.0,4.0,7.0,10.0,7.0,8.0,5.0,90.0,2.0,2.0,2.0,2.0,2.0,18.0,10.0,30.0,10.0,10.0,22.0,1,0,0,0,0,0
1147,83,14,107.0,0,83.0,83.0,0.72,0,6.0,6.0,5.0,9.0,9.0,5.0,5.0,8.0,8.0,8.0,7.0,5.0,8.0,10.0,32.0,20.0,12.0,11.0,15.0,19.0,24.0,21.0,23.0,5.0,8.0,1,0,0,0,0,0
